"id","titulo","fecha","hora","resumen","contenido","categoria","autor","tags","url","fecha_extraccion","imagenes","fuente","created_at"
"1141","Alianza UDH vence 2-1 a Los Chankas y salió del descenso","2025-08-31 00:00:00","15:22:29","","","","","","https://pachamamaradio.org/alianza-udh-vence-2-1-a-los-chankas-y-salio-del-descenso/#un-gol-que-cambió-todo","2025-10-13 15:22:29","https://pachamamaradio.org/wp-content/uploads/2025/08/Alianza-UDH-vence-2-1-a-Los-Chankas-DF.avif; https://pachamamaradio.org/wp-content/uploads/2025/05/anuncie-whatsapp.avif","pachamama","2025-10-13 15:22:29.765383"
"1140","Sandia: Alto Inambari sufre desabastecimiento y precios altos por bloqueo de carreteras","2025-03-29 00:00:00","15:22:29","","","","","","https://pachamamaradio.org/sandia-alto-inambari-sufre-desabastecimiento-y-precios-altos-por-bloqueo-de-carreteras/","2025-10-13 15:22:29","https://pachamamaradio.org/wp-content/uploads/2025/03/precios-se-disparan-y-escasez-de-combustible-DF.jpg; https://pachamamaradio.org/wp-content/uploads/2025/05/anuncie-whatsapp.avif","pachamama","2025-10-13 15:22:29.763922"
"1139","Universitario lidera torneo con Cusco FC pisándole los talones","2025-09-16 00:00:00","15:22:29","","","","","","https://pachamamaradio.org/universitario-lidera-torneo-con-cusco-fc-pisandole-los-talones/#fixture-favorece-las-aspiraciones-cusqueñas","2025-10-13 15:22:29","https://pachamamaradio.org/wp-content/uploads/2025/09/Universitario-de-Deportes-DF.avif; https://pachamamaradio.org/wp-content/uploads/2025/05/anuncie-whatsapp.avif","pachamama","2025-10-13 15:22:29.762569"
"1138","Déficit fiscal Perú alcanzará nivel crítico mientras crece preocupación por reglas incumplidas","2024-12-24 00:00:00","15:22:29","","","","","","https://pachamamaradio.org/deficit-fiscal-peru-alcanzara-nivel-critico-mientras-crece-preocupacion-por-reglas-incumplidas/#desafíos-institucionales-y-seguridad","2025-10-13 15:22:29","https://pachamamaradio.org/wp-content/uploads/https://imag.pachamamaradio.org/images/2024/12/24/deficit-fiscal-DF.webp; https://pachamamaradio.org/wp-content/uploads/2025/05/anuncie-whatsapp.avif","pachamama","2025-10-13 15:22:29.761000"
"1137","Piura: Fiscalía solicita prisión preventiva para oftalmólogo por presunta violación contra su pareja","2025-09-03 00:00:00","15:22:29","","","","","","https://pachamamaradio.org/piura-fiscalia-solicita-prision-preventiva-para-oftalmologo-por-presunta-violacion-contra-su-pareja/","2025-10-13 15:22:29","https://pachamamaradio.org/wp-content/uploads/2025/09/IMG_20250902_083906.avif; https://pachamamaradio.org/wp-content/uploads/2025/05/anuncie-whatsapp.avif","pachamama","2025-10-13 15:22:29.759423"
"1136","Pando, el organismo más antiguo y grande del mundo con hasta 80,000 años de antigüedad","2024-11-12 00:00:00","15:22:29","","","","","","https://pachamamaradio.org/pando-el-organismo-mas-antiguo-y-grande-del-mundo-con-hasta-80000-anos-de-antiguedad/","2025-10-13 15:22:29","https://pachamamaradio.org/wp-content/uploads/https://imag.pachamamaradio.org/images/2024/11/12/bosque-de-alamos-temblones-DF.webp; https://pachamamaradio.org/wp-content/uploads/2025/05/anuncie-whatsapp.avif","pachamama","2025-10-13 15:22:29.757988"
"1135","“Niños sin anemia, su futuro depende de ti”: descarte y tratamiento son gratuitos en todos los centros de salud del país","2025-07-27 00:00:00","15:22:29","","","","","","https://pachamamaradio.org/ninos-sin-anemia-su-futuro-depende-de-ti-descarte-y-tratamiento-son-gratuitos-en-todos-los-centros-de-salud-del-pais/#acceso-gratuito-al-tratamiento-de-anemia-en-el-país","2025-10-13 15:22:29","https://pachamamaradio.org/wp-content/uploads/2025/07/Ninos-sin-anemia-DF.avif; https://pachamamaradio.org/wp-content/uploads/2025/07/Ninos-sin-anemia-2DF.webp","pachamama","2025-10-13 15:22:29.756540"
"1134","Juliaca: cuestionan que en más de dos meses no haya investigaciones ni sanciones tras muerte de 18 personas","2023-03-10 00:00:00","15:22:29","","","","","","https://pachamamaradio.org/juliaca-cuestionan-que-en-mas-de-dos-meses-no-haya-investigaciones-ni-sanciones-tras-muerte-de-18-personas/","2025-10-13 15:22:29","https://pachamamaradio.org/wp-content/uploads/2025/05/anuncie-whatsapp.avif; https://pachamamaradio.org/wp-content/uploads/2025/05/contactenos-web.avif","pachamama","2025-10-13 15:22:29.755002"
"1133","Instituto José Antonio Encinas de Puno gastó recursos sin autorización ni transparencia","2025-09-03 00:00:00","15:22:29","","","","","","https://pachamamaradio.org/instituto-jose-antonio-encinas-de-puno-gasto-recursos-sin-autorizacion-ni-transparencia/","2025-10-13 15:22:29","https://pachamamaradio.org/wp-content/uploads/2025/09/Instituto-Superior-Tecnologico-Publico-Jose-Antonio-Encinas-ASAM.avif; https://pachamamaradio.org/wp-content/uploads/2025/05/anuncie-whatsapp.avif","pachamama","2025-10-13 15:22:29.753620"
"1132","Hallan muerta a Jissel Torres tras 13 días desaparecida en San Román","2025-09-22 00:00:00","15:22:29","","","","","","https://pachamamaradio.org/hallan-muerta-a-jissel-torres-tras-13-dias-desaparecida-en-san-roman/","2025-10-13 15:22:29","https://pachamamaradio.org/wp-content/uploads/2025/09/Hallan-muerta-a-Jissel-Torres-CPR.avif; https://pachamamaradio.org/wp-content/uploads/2025/05/anuncie-whatsapp.avif","pachamama","2025-10-13 15:22:29.752176"
