autor,caracteres_contenido,categoria,contenido,created_at,fecha,fecha_extraccion,fuente,id,imagenes,palabras_contenido,resumen,tags,titulo,url
Diario los Andes,747,General,"Pucarcolla. Gilmer Morales Sucasaca (30), quien prestaba servicio de seguridad en el peaje de la vía Puno – Juliaca, fue atropellado por la combi de placa Z0K-962, perteneciente a la empresa Dorado Express, aproximadamente a las 20:05 horas del pasado miércoles. Tras el hecho, los policías de la comisaría PNP de Paucarcolla acudieron al lugar del incidente, a fin socorren al agraviado, quien a bordo de un patrullero fue llevado al nosocomio regional de Puno, donde recibió un diagnosticado de descarte de fractura de cráneo y comuna lumbar. Según se sabe, el vigilante de la Empresa de Seguridad “Pirámide”, fue atropellado cuando recogía los conos que estaban en medio de la pista. La combi conducida por Pedro Quispe (60) iba de norte a sur.",2025-11-16T21:32:01.293813,2018-11-30T00:00:00,2025-11-16T21:32:01.914051,Los Andes,10533,,124,"Pucarcolla. Gilmer Morales Sucasaca (30), quien prestaba servicio de seguridad en el peaje de la vía Puno – Juliaca, fue atropellado por la combi de placa Z0K-962, perteneciente a la empresa Dorado Express, aproximadamente a las 20:05 horas del pasado miércoles. Tras el hecho, los policías de la comisaría PNP de Paucarcolla acudieron al lugar […]",,Vigilante de peaje fue atropellado,https://losandes.com.pe/vigilante-de-peaje-fue-atropellado/?signup
Diario los Andes,1697,General,"Una madre de familia que se dedica al servicio de taxi fue víctima de un robo en el distrito de San Martín de Socabaya. Mientras almorzaba en un restaurante cercano al mercado de la zona, delincuentes sustrajeron la memoria electrónica de su vehículo de placa VOJ-170, dejándolo completamente inoperativo. La afectada, Katy Diana Zanca Márquez, relató que se ausentó por menos de 10 minutos, y al regresar encontró su unidad inutilizable. “Este carro es mi herramienta de trabajo. Es lo que me permite mantener a mis hijos y a mi mamá de 80 años”, declaró entre lágrimas. La mujer indicó que vive en Mollebaya y que almorzó en Socabaya porque había acudido a su empresa previamente. Además, manifestó que casi nunca deja su vehículo sin vigilancia y que usualmente lo estaciona en cocheras o lugares visibles. Esta vez, solo lo dejó unos minutos, pero fue suficiente para que los delincuentes actúen. La memoria robada tiene un costo estimado de entre 1,500 y 2,000 soles, suma que la conductora no puede cubrir por completo, ya que además continúa pagando letras del vehículo. Por ello, ha solicitado apoyo económico a la ciudadanía a través del número 959 757 174, donde recibe aportes por Yape a su nombre. El robo ocurrió cerca del colegio Manuel Benito Linares Arenas y Santa María de los Ángeles, lo que genera preocupación por la falta de seguridad en la zona. Aunque se identificaron cámaras de seguridad en viviendas cercanas, aún se desconoce si captaron el momento del hurto. Agentes de la comisaría “Ciudad Mi Trabajo” acudieron al lugar para iniciar las diligencias correspondientes. La víctima formalizó la denuncia y espera que las investigaciones permitan dar con los responsables.",2025-11-16T21:32:01.293813,2025-08-06T00:00:00,2025-11-16T21:32:01.913707,Los Andes,10532,,281,"Una madre de familia que se dedica al servicio de taxi fue víctima de un robo en el distrito de San Martín de Socabaya. Mientras almorzaba en un restaurante cercano al mercado de la zona, delincuentes sustrajeron la memoria electrónica de su vehículo de placa VOJ-170, dejándolo completamente inoperativo. La afectada, Katy Diana Zanca Márquez, […]",,Arequipa: Sustraen la memoria de vehículo a madre taxista,https://losandes.com.pe/arequipa-sustraen-la-memoria-de-vehiculo-a-madre-taxista/?signup
Diario los Andes,1994,General,"El Consejo Regional de Puno rechazó realizar una sesión descentralizada en San Román para enfrentar la creciente delincuencia en Juliaca. La votación del 13 de noviembre dejó al descubierto la desconexión entre las autoridades y las demandas ciudadanas. total, 14 consejeros votaron en contra, tres a favor, y el presidente Elvis Aliaga no intervino por imparcialidad. La iniciativa buscaba convocar al Consejo Regional de Seguridad Ciudadana (Coresec) para diseñar estrategias urgentes ante el aumento de robos y violencia. Sin embargo, la mayoría optó por archivar la propuesta sin presentar alternativas. El consejero Rolando Rivera Zeballos no asistió, reduciendo aún más las posibilidades de aprobar la medida. La decisión generó indignación entre los juliaqueños, quienes exigen mayor protección. Lo más polémico fue el voto de los consejeros Percy Quispe Miranda y María Elena Mamani Apaza, representantes de San Román, quienes se opusieron a la sesión en su propia provincia. Su postura contrastó con la realidad de Juliaca, donde la delincuencia ha escalado en los últimos años. El documento original advertía que “el Consejo no puede estar a espaldas del sufrimiento del pueblo”, pero la votación demostró lo contrario. Los 14 consejeros que rechazaron la moción —entre ellos Alfredo Ucharico, Giorni Bautista y Reynaldo Choquehuanca— no explicaron cómo abordarán la crisis. Solo Concepción Aguirre, Basilio Mendoza y Abad Vizcarra apoyaron la iniciativa, que buscaba priorizar la seguridad en una provincia azotada por la violencia. La negativa se interpretó como un desaire a las demandas de la población. La alta abstención y el rechazo masivo reflejan la desconexión entre las autoridades y las necesidades urgentes de Juliaca. La ciudad registra un incremento sostenido de delitos, pero el Consejo Regional optó por postergar soluciones. La sesión descentralizada era vista como una oportunidad para fortalecer el Coresec y diseñar políticas públicas con participación ciudadana.",2025-11-16T21:32:01.293813,2025-11-15T00:00:00,2025-11-16T21:32:01.912722,Los Andes,10531,,299,"El Consejo Regional de Puno rechazó realizar una sesión descentralizada en San Román para enfrentar la creciente delincuencia en Juliaca. La votación del 13 de noviembre dejó al descubierto la desconexión entre las autoridades y las demandas ciudadanas. total, 14 consejeros votaron en contra, tres a favor, y el presidente Elvis Aliaga no intervino por […]",,Consejeros ignoran seguridad y votan en contra de Juliaca,https://losandes.com.pe/consejeros-ignoran-seguridad-y-votan-en-contra-de-juliaca/
Diario los Andes,1379,General,"El presidente de la Federación Regional de Folklore y Cultura de Puno (FRFCP), Alexander Quispe Huaracha, anunció los primeros preparativos para la festividad de la Virgen de la Candelaria 2026, destacando la posibilidad de retornar al Estadio Enrique Torres Belón como escenario principal de los concursos. Esta evaluación surge tras los problemas de congestión registrados en la última edición, donde el espacio disponible resultó insuficiente para la gran cantidad de conjuntos participan tes. Quispe detalló que ya se iniciaron las coordinaciones con diversas instituciones, incluyendo gestiones con la Universidad Nacional del Altiplano para disponer nuevamente de su estadio como alternativa. “Estamos analizando todas las opciones con anticipación, porque no podemos repetir los errores de dejar todo para última hora”, enfatizó el dirigente. La nueva directiva de la FRFC se encuentra actualmente en proceso de transferencia de la gestión anterior, revisando inventarios y documentación, lo que tomaría aproximadamente 15 días más. Paralelamente, se conformará una comisión revisora para evaluar las cuentas de la administración saliente, dejando abierta la posibilidad de una auditoría si fuera necesario. Quispe hizo especial hincapié en el enfoque participativo de su gestión: “Nuestro compromiso es trabajar de la mano con todos los conjuntos folclóricos, escuchando.",2025-11-16T21:32:01.293813,2025-05-09T00:00:00,2025-11-16T21:32:01.910750,Los Andes,10530,,198,"El presidente de la Federación Regional de Folklore y Cultura de Puno (FRFCP), Alexander Quispe Huaracha, anunció los primeros preparativos para la festividad de la Virgen de la Candelaria 2026, destacando la posibilidad de retornar al Estadio Enrique Torres Belón como escenario principal de los concursos. Esta evaluación surge tras los problemas de congestión registrados […]",,Alexander Quispe: “evaluaremos regresar al estadio Torres Belón”,https://losandes.com.pe/alexander-quispe-evaluaremos-regresar-al-estadio-torres-belon/
Diario los Andes,6415,General,"El bypass de la salida a Cusco surgió en 2012 en la gestión del fenecido alcalde David Mamani Paricahua. El proyecto preveía beneficiar a 307 mil 417 habitantes, pero lo que prometía progreso se convirtió en símbolo de ineficiencia y corrupción. Este in forme presenta una cronología que muestra cómo, tras 13 años, esta obra sigue siendo un elefante blanco. La gestión de Mamani inicialmente destinó S/ 7 millones para la obra, y luego se elevó a S/ 22 millones. Su sucesor, Oswaldo Marín Quiro, incrementó su costo a S/ 39 millones; sin embargo, la obra quedó inconclusa, con estructuras abandonadas y zonas convertidas en botaderos. En agosto de 2021, el exalcalde David Sucacahua relanzó el bypass prometiendo concluirlo en ocho meses con S/ 13 millones. El plazo se cumplió sin resultados, y una vez más, el proyecto quedó inconcluso, sumando otra promesa incumplida. En octubre de 2022, la Contralo ría alertó sobre estructuras metálicas valorizadas en más de S/6 millones abandonadas en la vía pública. Además, evidenció la ausencia de algunos trabajadores, lo que advertía posibles pagos irregulares. El entonces regidor Eliot Alarcón alertó que se ignoró el expediente técnico modificado y que la estructura no soportaría más de 18 toneladas. Además, no se respetó el cronograma ni se reforzaron las bases antes de continuar con la obra. Pese a estas deficiencias, la municipalidad desembolsó el 80 % del presupuesto asignado, a pesar de que el contrato estipulaba un pago en dos fases: 30 % al arribo del material metálico y el 70 % restante tras la culminación de los trabajos. En junio de 2023, ya en la gestión del alcalde Óscar Cáceres Rodríguez, la Contraloría General reveló la ausencia de juntas asfálticas en los sardineles del cerco perimétrico metálico, lo que provocó fisuras en las zonas norte y sur del bypass. También se detectó falta de supervisión y dudas sobre la veracidad de las pruebas de control de calidad. Asimismo, se halló trabajos de desencofrado no ejecutados en el tablero del puente, pese a haberse valorizado con un avance del 100 %. Esta omisión no solo representó un riesgo de accidentes, sino también la posible pérdida de materiales importantes. Como consecuencia, el bypass fue clausurado. El proyecto, además de estar sobrevalorado, carecía de partidas esenciales como barandas, iluminación, señalización y áreas ver des, generando un déficit superior a los S/ 2 mil 543 millones para su conclusión. Ante estas evidencias, en noviembre del 2023 y abril del 2024, la Pro curaduría Municipal y la Fiscalía Anticorrupción de Puno, denunciaron al exalcalde David Sucacahua Yucra y varios exfuncionarios por el presunto delito de peculado doloso. El 18 de marzo de 2024, la municipalidad reanudó la obra, con un pre supuesto de más de S/1 millón, con la promesa de ser culminada en 120 días. Quedaban pendientes las áreas verdes, iluminación y señalización y otros componentes. Según el regidor Javier Chura Espirilla, la carpeta fiscal abierta por indicios de corrupción y los peritajes que evidencian graves deficiencias técnicas deberían ser atendidos con urgencia. No obstante, casi un año después, los trabajos para corregir estos errores no han sido retomados. Chura indicó que el gerente de Infraestructura, Luis Aguilar Pomari, informó ante el Concejo Municipal que ningún residente de obra quiere asumir el proyecto debido a las múlti ples observaciones, ya que temen ser denunciados. Ante las quejas de los vecinos, el gerente de Infraestructura, Luis Edgardo Aguilar Pomari, informó sobre la culminación del expediente técnico modificado final, elaborado con los saldos de obra que ascienden a cerca de S/1 millón. El funcionario sostuvo que con este monto se completarán los componentes pendientes, como las barandas, iluminación, mejoramiento de la plataforma, refacción de la losa, repintado y otros detalles. Asimismo, se ejecutará una prueba de carga y una marcha blanca para evaluar la resistencia de la infraestructura. Para estos trabajos se utilizarán drones y, en coordinación con la Gerencia de Transportes, se habilitará el tránsito durante las pruebas. Una vez concluidas las acciones preparativas y las formalidades correspondientes, se prevé reiniciar los trabajos a finales de mayo. Según Aguilar Pomari, la culminación total del proyecto dependerá de los resultados de las pruebas de resistencia y otras evaluaciones. El gerente de Infraestructura indicó que otro motivo por el cual los residentes de obra renunciaban se relaciona con los reclamos de algunos vecinos que piden una plataforma peatonal. No obstante, según los profesionales esta modificación es técnicamente inviable. Aguilar explicó que el bypass fue diseñado para el tránsito de vehículos pesados; sin embargo, debido a las observaciones técnicas que presenta la obra, se limitará la carga permitida. Para el presidente del comité de gestión del bypass en la salida a Cusco, Cirilo Suni Puma, la molestia y desconfianza por parte de la población crece. La fecha de reinicio de la obra ha sido postergada tantas veces que ya no creen solo en palabras. Esta obra inconclusa está afectan do a las familias que viven en ese sector, no solo porque su inoperatividad genera caos vehicular en una zona de alto tránsito, sino también porque, al estar abandonada, se ha convertido en un botadero de basura y guarida de malhechores. Rubén Tamayo Mollinedo, consultor especialista en obras civiles, señala que uno de los factores por los que se truncan obras de gran envergadura es la corrupción. Asegura que hay profesionales capacitados, pero que son desplazados por allegados a las autoridades. El experto hizo una comparación con Arequipa, donde en un periodo de ejecución menor al del bypass de Juliaca, se ejecutaron siete obras similares con cerca de S/ 30 millones. Sin embargo, en la Ciudad Calcetera se invirtió casi S/ 39 millones y la obra aún no se culmina. Tamayo explicó que desde la gestión de David Mamani se evidenciaba un desbalance presupuestal. Considera que su sucesor, Oswaldo Marín, debió ordenar un peritaje técnico y financiero, pero, sobre estas anomalías decidió gastar S/ 17 millones adicionales. Otro aspecto fundamental para una correcta ejecución de obras, según Tamayo, tiene que ver con la formación de los responsables de proyectos en contrataciones del Estado. Asimismo, señala que la escala remunerativa debería ser más atractiva para los especialistas.",2025-11-16T21:32:01.293813,2025-05-26T00:00:00,2025-11-16T21:32:01.910172,Los Andes,10529,,1021,"El bypass de la salida a Cusco surgió en 2012 en la gestión del fenecido alcalde David Mamani Paricahua. El proyecto preveía beneficiar a 307 mil 417 habitantes, pero lo que prometía progreso se convirtió en símbolo de ineficiencia y corrupción. Este in forme presenta una cronología que muestra cómo, tras 13 años, esta obra […]",,Bypass de Juliaca: forado que devora millones,https://losandes.com.pe/bypass-de-juliaca-forado-que-devora-millones/?signup
Diario los Andes,1632,General,"En medio de un encuentro programado para debatir sobre normativas relacionadas a la titulación de tierras en la víspera, en el teatro municipalidad de Puno. Autoridades originarias y tenientes gobernadores expresaron un contundente rechazo hacia el Defensor del Pueblo, Josué Gutiérrez Cóndor, a quien acusaron de haber asistido sin previo aviso y con otras intenciones. José Carlos Gutiérrez Sancho, Apu mallku del Consejo de Autoridades Originarias de Puno, denunció que los tenientes gobernadores fueron engañados para asistir al evento bajo el argumento de que se tratarían temas técnicos sobre leyes que afectan a las comunidades campesinas, pero no se les informó que estaría presente el Defensor del Dueblo. “Este señor quiso tomarse la foto con las autoridades, pero fue rechazado por todos. Nunca se ha pronunciado en defensa del pueblo”, afirmó. La situación se tensó aún más cuando Gutiérrez Cóndor intentó tomar la palabra en el Teatro Municipal de Puno. Los asistentes le impidieron hablar, y en un momento, una tenienta gobernadora incluso le retiró el micrófono, en señal de rechazo. Según testigos, el funcionario fue expulsado del recinto entre gritos y reclamos por su cercanía con el gobierno de Dina Boluarte, a quien muchos de los asistentes consideran responsable de políticas contrarias a los intereses de las comunidades campesinas. El evento tenía como finalidad debatir sobre la Ley 32293, considerada por las autoridades originarias como inconstitucional y perjudicial para las propiedades comunales, “No vamos a permitir que vengan a tomarnos por tontos ni a limpiar su imagen en nuestra tierra”, agregó.",2025-11-16T21:32:01.293813,2025-07-25T00:00:00,2025-11-16T21:32:01.908752,Los Andes,10528,,252,"En medio de un encuentro programado para debatir sobre normativas relacionadas a la titulación de tierras en la víspera, en el teatro municipalidad de Puno. Autoridades originarias y tenientes gobernadores expresaron un contundente rechazo hacia el Defensor del Pueblo, Josué Gutiérrez Cóndor, a quien acusaron de haber asistido sin previo aviso y con otras intenciones. […]",,Botan al Defensor del Pueblo por “ser aliado de Boluarte”,https://losandes.com.pe/botan-al-defensor-del-pueblo-por-ser-aliado-de-boluarte/?signup
Diario los Andes,1524,General,"Las cámaras de seguridad instaladas en el establecimiento “Raymi Café”, ubicado en la cuadra 4 del jirón Tumbes de la ciudad de Juliaca (San Román), revelaron cómo dos ladronzuelos, entre ellos un menor de aproximadamente 14 años, robaron dinero de la caja fuerte producto de la venta del día. DENUNCIA Según la denuncia del propietario del local, el hecho se registró el pasado sábado 24 de noviembre, cerca de las 12:44 horas, cuando un sujeto de más o menos 23 años, junto al muchachito, ingresaron haciéndose pasar como clientes, preguntando por unos capuchinos. Instantes después, el trabajador se retira por un momento, y el niño vestido con una chompa ploma y buzo negro, aprovecha para acercarse disimuladamente a la caja fuerte y la abre, mientras que su cómplice se queda parado observando la carta frente al mostrador para cubrir la acción ilícita. 12:45:09, regresa el encargado de la cafetería para tomar el pedido de los supuestos “clientes”. El “pirañita”, al darse cuenta, rápidamente actúa como un niño travieso e inquieto, subiéndose a las sillas y jugando con ellas. 12:45:45, el delincuente se sienta y logra distraer al encargado, para que el menor vuelva y descaradamente tome el dinero de la caja con la mano derecha, escondiéndolo debajo de su chompa. La cantidad sustraída asciende a más de 900 soles. 12:46:14, tras conseguir su hazaña, el pequeño ladronzuelo empieza a brincar acercándose a su compinche, señalado haber perpetrado el robo. Finalmente, ambos maleantes abandonan el establecimiento.",2025-11-16T21:32:01.293813,2018-11-27T00:00:00,2025-11-16T21:32:01.899464,Los Andes,10527,,245,"Las cámaras de seguridad instaladas en el establecimiento “Raymi Café”, ubicado en la cuadra 4 del jirón Tumbes de la ciudad de Juliaca (San Román), revelaron cómo dos ladronzuelos, entre ellos un menor de aproximadamente 14 años, robaron dinero de la caja fuerte producto de la venta del día. DENUNCIA Según la denuncia del propietario […]",,Un sujeto y un menor ingresaron a cafetería para robar dinero del día,https://losandes.com.pe/un-sujeto-y-un-menor-ingresaron-a-cafeteria-para-robar-dinero-del-dia/?signup
Diario los Andes,716,General,"Una discusión de pareja por poco termina en un caso más de feminicidio, luego de que un sujeto atacara a una mujer utilizando un cuchillo de cocina, con el cual le realizó dos cortes en el rostro, para luego huir cobardemente. Se trata de Humberto Chambi Chura, quien le habría provocado lesiones graves a su pareja, Yudi Aparicio Aquino, la misma que luego de lo ocurrido fue evacuada de emergencia por su hermana hasta la Clínica Americana de la ciudad de Juliaca. Según la agraviada, el agresor comenzó a romper varios objetos en el interior de su inmueble ubicado en el jirón Urbina del distrito de San Miguel, y al ya no poder controlarse, la atacó con el arma blanca. La Fiscalía ya inició las investigaciones.",2025-11-16T21:32:01.293813,2018-11-29T00:00:00,2025-11-16T21:32:01.893058,Los Andes,10526,,126,"Una discusión de pareja por poco termina en un caso más de feminicidio, luego de que un sujeto atacara a una mujer utilizando un cuchillo de cocina, con el cual le realizó dos cortes en el rostro, para luego huir cobardemente. Se trata de Humberto Chambi Chura, quien le habría provocado lesiones graves a su […]",,Desfiguró el rostro de su pareja con un cuchillo,https://losandes.com.pe/desfiguro-el-rostro-de-su-pareja-con-un-cuchillo/?signup
Diario los Andes,1971,General,"La Superintendencia Nacional de Servicios de Saneamiento (Sunass) ha autorizado un nuevo porcentaje de inversión que la empresa prestadora de servicios de saneamiento EPS SedaJuliaca S.A. deberá destinar al Fondo de Inversiones. Esta alza genera preocupación entre los usuarios, quienes verán afectada su economía familiar. Según el Informe de Especialista Nº 00003-2024-SUNASSDRT y el Memorando Nº 00072-2024-SUNASSDRT, esta medida busca garantizar la mejora continua de los servicios de agua potable y alcantarillado en la región Puno. La norma aprobada en el Diario Oficial El Peruano en febrero del 2024, los costos y gastos desembolsables por los servicios de agua potable y saneamiento, se proyecta que para el 2024 asciendan a S/ 14,1 millones. Al inicio del siguiente periodo regulatorio es de 5%. Con este nuevo porcentaje, Sedajuliaca estará obligada a invertir más recursos en la modernización y ampliación de su infraestructura, lo que se traducirá en una mejora en la calidad y continuidad del servicio para los usuarios. Isidro Pacohuanaco Pacco, exconsejero Por San Román, ha expresado su rechazo al incremento que se aplicaría a partir de enero de 2025. Según el exfuncionario, este aumento de S/ 2.40 mensuales, autorizado mediante la Resolución del Consejo Directivo 027-2024 de la Sunass, resulta injustificado debido a la pésima calidad del servicio brindado por SedaJuliaca. Pacohuanaco Pacco solicitó la suspensión inmediata del estudio tarifario 2025-2029. Sin embargo, al no obtener una respuesta satisfactoria, llevará su pedido a la ciudad de Puno. El exconsejero ha señalado que el incremento no solo se aplicará a partir de 2025, sino que se proyecta un aumento sucesivo hasta el año 2030. Considera que esta medida es desproporcionada y perjudica a la población, especialmente a los sectores más vulnerables, quienes ya enfrentan dificultades económicas. En el papel no se ha mejorado la infraestructura, es el caso del reservorio Santa Cruz.",2025-11-16T21:32:01.293813,2025-01-14T00:00:00,2025-11-16T21:32:01.892455,Los Andes,10525,,302,"Escribe: Zenaida Zea La Superintendencia Nacional de Servicios de Saneamiento (Sunass) ha autorizado un nuevo porcentaje de inversión que la empresa prestadora de servicios de saneamiento EPS SedaJuliaca S.A. deberá destinar al Fondo de Inversiones. Esta alza genera preocupación entre los usuarios, quienes verán afectada su economía familiar. Según el Informe de Especialista Nº 00003-2024-SUNASSDRT […]",,Sunass autoriza incrementar tarifa de agua en Juliaca,https://losandes.com.pe/sunass-autoriza-incrementar-tarifa-de-agua-en-juliaca/?signup
Diario los Andes,1068,General,"Dos sujetos fueron detenidos por la Policía, acusados de hurtar una mototaxi y ser parte de la banda criminal ‘Los astutos del sur’. La mañana de ayer, cuando un grupo de efectivos policiales patrullaban la ciudad, tomaron conocimiento sobre la retención de unos sospechosos en el jirón Marcavalle, altura de la avenida Héroes del Pacífico. Ya en el lugar los agentes del orden se entrevistaron con Juan Condori Apaza (31), quien dio cuenta sobre el hurto de su mototaxi la tarde del miércoles 19 de marzo. Un día después el propietario de la unidad, con la ayuda de otras personas, ubicaron la mototaxi y pudieron retener a los sospechosos identificados como Deyvis Suaquita Ticona (23) y Dennis Mamani Canaza (29). Los presuntos delincuentes fueron detenidos por la Policía y conducidos a la comisaría para continuar con las investigaciones y así determinar responsabilidades. Ellos fueron puestos a disposición de la Fiscalía. La Policía investiga a los detenidos quienes serían parte de toda una organización dedicada al hurto de mototaxis en la ciudad de Juliaca.",2025-11-16T21:32:01.293813,2025-03-21T00:00:00,2025-11-16T21:32:01.891680,Los Andes,10524,,173,"Por: Los Andes Dos sujetos fueron detenidos por la Policía, acusados de hurtar una mototaxi y ser parte de la banda criminal ‘Los astutos del sur’. La mañana de ayer, cuando un grupo de efectivos policiales patrullaban la ciudad, tomaron conocimiento sobre la retención de unos sospechosos en el jirón Marcavalle, altura de la avenida […]",,Juliaca: atrapan a ‘Los astutos del sur’,https://losandes.com.pe/juliaca-atrapan-a-los-astutos-del-sur/?signup
Diario los Andes,1014,General,"Dos presuntos integrantes de la banda ‘Los jala toros de Juliaca’, fueron capturados por agentes de la División de Orden Público y Seguridad (Divopus) de la Policía, tras hurtar una mototaxi con matrícula 6477-62. El hecho ocurrió cerca de las 6:20 horas del lunes, en una vivienda ubicada en el jirón José María Arguedas, de la urbanización Anexo Tambopata, en donde la moto “torito” propiedad de Franco C.Q. (35), fue estacionada. A los pocos minutos, uno de los delincuentes, en un intento por despistar a la propietaria de la casa, fingió ser conocido del dueño de la mototaxi y le pidió llamarlo, pero apenas ella ingresó a la vivienda, el sujeto encendió la unidad y escapó con ella. Con el apoyo de algunos vecinos, la Policía capturó a uno de los hampones mientras huía en una mototaxi. Asimismo, tras una persecución, la Policía recuperó el vehículo conducido por el cómplice. Los maleantes fueron alcanzados en el jirón Azángaro. Los ‘jala toros’ son Fedaldo Mamani Cutipa (35), y Fredy Zenteno Yto (33).",2025-11-16T21:32:01.293813,2025-06-25T00:00:00,2025-11-16T21:32:01.889897,Los Andes,10523,,171,"Dos presuntos integrantes de la banda ‘Los jala toros de Juliaca’, fueron capturados por agentes de la División de Orden Público y Seguridad (Divopus) de la Policía, tras hurtar una mototaxi con matrícula 6477-62. El hecho ocurrió cerca de las 6:20 horas del lunes, en una vivienda ubicada en el jirón José María Arguedas, de […]",,Puno: ‘Los jala toros’ cayeron mansitos,https://losandes.com.pe/puno-los-jala-toros-cayeron-mansitos/?signup
