autor,caracteres_contenido,categoria,contenido,created_at,fecha,fecha_extraccion,fuente,id,imagenes,palabras_contenido,resumen,tags,titulo,url
Diario los Andes,1326,General,"El Comité de Mortalidad Infantil de la Red de Salud (Redess) San Román se reunió en el hospital Carlos Monge Medrano para analizar la muerte de 5 menores de edad en los últimos meses, debido a Infecciones Respiratorias Agudas (IRA), neumonías y Enfermedades Diarreicas Agudas (EDA). El personal de salud de las Redess Huancané (San Antonio de Putina), Melgar (Coasa) y los centros de salud de la Red San Román (Chingora, Vilcapata, Mariano Melgar y Caracoto) expusieron cada caso, considerando que los niños fallecidos fueron referidos desde estos establecimientos al hospital Carlos Monge Medrano de Juliaca. Tras reconocer varias falencias cometidas, se acordó mejorar el seguimiento de los niños con IRA, neumonías y EDA, así como realizar una intervención multidisciplinaria en casos de menores con bajo peso, anemia, desnutrición u otros factores. También se decidió enfocar la prevención del embarazo adolescente, ya que la mayoría de las muertes infantiles ocurrieron en hijos de madres de ese grupo etario. Cabe indicar que la reunión fue convocada por el programa presupuestal orientado a Resultados de Desarrollo Infantil Temprano, con el objetivo de prevenir las muertes infantiles. Se prevé realizar más campañas contra diversas enfermedades en el ámbito de la Redess San Román, para evitar la mortalidad infantil.",2025-11-09T02:47:53.227822,2024-03-04T00:00:00,2025-11-09T02:47:54.270312,Los Andes,7959,,205,"Por: Eduardo Mamani El Comité de Mortalidad Infantil de la Red de Salud (Redess) San Román se reunió en el hospital Carlos Monge Medrano para analizar la muerte de 5 menores de edad en los últimos meses, debido a Infecciones Respiratorias Agudas (IRA), neumonías y Enfermedades Diarreicas Agudas (EDA). El personal de salud de las […]",,Redess hace mea culpa por decesos,https://losandes.com.pe/redess-hace-mea-culpa-por-decesos/
Diario los Andes,1504,General,"Efectivos de la Policía Nacional detuvieron a dos delincuentes que admitieron haber participado en el asalto de la cooperativa de ahorro y crédito “Credicoop”, ubicado en el distrito de Alto Inambari – Massiapo, provincia de Sandia, al norte de la ciudad de Puno. El atraco se produjo el último viernes al promediar las 18:00 horas. Fueron siete sujetos los que ingresaron al establecimiento. Dispararon tres veces dentro de la entidad. Luego al salir realizaron alrededor de 30 disparos al aire. Nestor Quispe Esperilla, administrador de la cooperativa, informó que el monto robado es de 4 mil soles. El dinero se encontraba en uno los módulos del establecimiento, pero fue hallado por los delincuentes. La balacera le provocó la muerte a Julio Calsina Coarite, quien recibió un impacto de bala. El proyectil le perforó la mandíbula y pecho. El caso consternó a la población de la zona, razón por la cual, se efectuó un patrullaje por decenas de agentes de la Policía Nacional, logrando detener a Jhon Quispe Machaca (22), natural de Azángaro, junto a Fernando Mamani Morales (23), natural de Puno. En sus primeras declaraciones, los delincuentes confesos señalaron que cometieron el robo junto a sus conpinches de alias “Chasca”, “Chato”, “Flaco”, “Jhordy” y un quinto sujeto, aún no identificado. Habrían fugado por el cauce del río Chontabamba del sector Palmera, pero solo ellos dos se separaron. Admitieron que por el delito cometido recibieron la suma de 500 soles cada uno. (Fuente: La República)",2025-11-09T02:47:53.227822,2018-12-17T00:00:00,2025-11-09T02:47:54.269692,Los Andes,7958,,244,"Efectivos de la Policía Nacional detuvieron a dos delincuentes que admitieron haber participado en el asalto de la cooperativa de ahorro y crédito “Credicoop”, ubicado en el distrito de Alto Inambari – Massiapo, provincia de Sandia, al norte de la ciudad de Puno. El atraco se produjo el último viernes al promediar las 18:00 horas. Fueron siete sujetos los que ingresaron al […]",,Capturan a delincuentes que asaltaron cooperativa en Alto Inambari,https://losandes.com.pe/capturan-a-delincuentes-que-asaltaron-cooperativa-en-alto-inambari/?signup
Diario los Andes,948,General,"El presidente del Círculo de Periodistas del Perú, filial Juliaca, Pedro Mamani Zela, señaló que se está convocando a una marcha de sacrificio por las presuntas anomalías en obras del estadio Guillermo Briceño Rosamedina. Esta reacción surge ante la falta de respuesta del Gobierno Regional de Puno para entregar un informe técnico. El dirigente dijo que no se le pagó a la empresa Caral. Esta constructora ejecutó parte del techo de las tribunas oriente y occidente, la cual pretendería retirar por falta de pago. “No vamos a permitir que se mueva una calamina”, dijo Mamani. El gerente regional, Óscar Macedo, indicó quele va entregar una carta notarial a la empresa para que retire el techo, para que el Gobierno Regional ejecute de nuevo ese trabajo. Sin embargo, el gremio considera solo que complicará la situación. “Vamos a tener que hacer una marcha de sacrificio”, agregó, Pedro Mamani, y lamentó que la actual gestión se “lave las manos”.",2025-11-09T02:47:53.227822,2025-06-24T00:00:00,2025-11-09T02:47:54.268864,Los Andes,7957,,157,"El presidente del Círculo de Periodistas del Perú, filial Juliaca, Pedro Mamani Zela, señaló que se está convocando a una marcha de sacrificio por las presuntas anomalías en obras del estadio Guillermo Briceño Rosamedina. Esta reacción surge ante la falta de respuesta del Gobierno Regional de Puno para entregar un informe técnico. El dirigente dijo […]",,Marcha para defender el estadio Guillermo Briceño de Juliaca,https://losandes.com.pe/marcha-para-defender-el-estadio-guillermo-briceno-de-juliaca/
Diario los Andes,594,General,"La Municipalidad Provincial de San Román – Juliaca, a través de la Subgerencia de Gestión Ambiental, notificó a los propietarios y tiendas comerciales del jirón Libertad sobre la regulación del comercio y letreros publicitarios en vía pública, en cumplimiento con la nueva Ordenanza Municipal N° 001-2024. Los propietarios tienen un plazo de 72 horas para regularizar o retirar cualquier mercadería, letreros u objetos que están instalados sobre la vía pública. El incumplimiento de esta normativa puede derivar en sanciones administrativas, conforme a lo establecido en la ordenanza municipal.",2025-11-09T02:47:53.227822,2024-09-23T00:00:00,2025-11-09T02:47:54.268344,Los Andes,7956,,88,"La Municipalidad Provincial de San Román – Juliaca, a través de la Subgerencia de Gestión Ambiental, notificó a los propietarios y tiendas comerciales del jirón Libertad sobre la regulación del comercio y letreros publicitarios en vía pública, en cumplimiento con la nueva Ordenanza Municipal N° 001-2024. Los propietarios tienen un plazo de 72 horas para […]",,Juliaca: Notifican a propietarios de tiendas para que retiren letreros publicitarios,https://losandes.com.pe/juliaca-notifican-a-propietarios-de-tiendas-comerciales-para-retirar-letreros-publicitarios-de-la-via-publica/
Diario los Andes,3471,General,"Recursos beneficiaron a alrededor de 39 mil familias en nueve regiones en las zonas de intervención de Devida.La Comisión Nacional para el Desarrollo y Vida sin Drogas (Devida) transfirió recursos por un total de S/ 76 085 797.01, durante el 2020, a 58 municipios y a un gobierno regional con el propósito de articular actividades y proyectos productivos alternativos en beneficio de 39 mil 494 familias en las zonas de intervención de la institución. Con un trabajo articulado entre los gobiernos locales y Devida se impulsaron 29 proyectos y 68 actividades, entre las que se encuentran el mantenimiento de infraestructura vial, reforestación de héctareas de cultivo, asistencia técnica para los cultivos alternativos entre otros, en los diferentes distritos de Puno, Pasco, Junín, Huánuco, Ucayali, San Martín, Loreto, Ayacucho y Cusco.En la región de Puno, Devida transfirió más de S/ 14 millones y medio a 7 gobiernos locales, entre ellos la Municipalidad Provincial de Sandia y Carabaya, municipalidades distritales de San Juan del Oro, Yanahuaya, Alto Inambari, San Gabán y Ayapata para promover cultivos de café, cacao, piña, cítricos, crianza de peces y mantenimiento de obras viales. En detalle, se transfirió S/ 636 000 al Gobierno Regional de Ucayali para mejorar las técnicas acuícolas de 225 familias de los distritos de Padre Abad e Irazola, intervención contribuyó a incrementar la productividad de carne de pescado.Para la capacitación y asistencia técnica de cultivo de cacaco, café, plátano, peces tropicales, así como el mantenimiento de caminos vecinales en los diversos distritos de Puno, Pasco, Junín, Huánuco, Ucayali, San Martín y Loreto se transfirió un total de S/ 40 643 753.92 en beneficio de 19,643 familias. Dentro de estos recursos, se desembolsaron recursos que ascienden a S/4 254 520 a la Municipalidad Distrital de Santa Rosa de Alto Yanajanca, provincia de Marañón (Huánuco), para la creación de un puente sobre el río Huamuco, que beneficiará a 805 familias. Mientras que, en el caso del Valle de los Ríos Apurímac, Ene y Mantaro (Vraem) se realizó transferencias de más de 35.4 millones de soles a 21 gobiernos locales del Vraem, para financiar proyectos y actividades de desarrollo en beneficio de más de 19 mil familias que decidieron seguir la ruta alternativa como una opción lícita. Con los recursos transferidos, las municipalidades mediante sus equipos técnicos lograron asistir alrededor de 9,097.8 hectáreas de cacao, café, cítricos, plátano, palta, piña; y se logró la recuperación de 2,820.0 hectáreas de suelos degradados con especies forestales. Este presupuesto también se invirtió en el mantenimiento de infraestructura vial, logrando la mejora de 292.75 kilómetros de caminos vecinales en favor de más de 9 214 familias de 16 distritos del valle, con el propósito de articular los centros de producción con los mercados local, regional y nacional. Este desembolso de recursos se realizó en el marco del Programa Presupuestal de Desarrollo Alternativo Integral y Sostenible (PIRDAIS), a través del cual se busca lograr las metas físicas; y también mejorar la dinámica socioeconómica de los productores organizados y de la población en general en las localidades de intervención de Devida. DATO:Devida transfiere estos recursos a los diferentes gobiernos regionales y municipios, quienes son los responsables de ejecutar y poner en marcha las actividades y proyectos en los diversos distritos de intervención de Devida.",2025-11-09T02:47:53.227822,2021-01-18T00:00:00,2025-11-09T02:47:54.267675,Los Andes,7955,,541,"Recursos beneficiaron a alrededor de 39 mil familias en nueve regiones en las zonas de intervención de Devida.La Comisión Nacional para el Desarrollo y Vida sin Drogas (Devida) transfirió recursos por un total de S/ 76 085 797.01, durante el 2020, a 58 municipios y a un gobierno regional con el propósito de articular actividades […]",,Devida transfirió recursos por más de 76 millones de soles a gobiernos locales para fortalecer el desarrollo alternativo,https://losandes.com.pe/devida-transfirio-recursos-por-mas-de-76-millones-de-soles-a-gobiernos-locales-para-fortalecer-el-desarrollo-alternativo/
Diario los Andes,201,General,"Diario referente del sur del Perú, espacio de reflexión sobre el desarrollo humano y su relación con el medio ambiente, la sociedad y la economía © 2024 Diario los Andes. Todos los derechos reservados.",2025-11-09T02:47:53.227822,2024-10-19T00:00:00,2025-11-09T02:47:54.267324,Los Andes,7954,,34,"Diario referente del sur del Perú, espacio de reflexión sobre el desarrollo humano y su relación con el medio ambiente, la sociedad y la economía © 2024 Diario los Andes",,PUNO: Diario los Andes 19/10/2024,https://losandes.com.pe/puno-diario-los-andes-19-10-2024/?signup
Diario los Andes,1721,General,"El flamante alcalde de la municipalidad provincial de Puno Martín Ticona Maquera, negó que se esté vulnerando los derechos de los serenos que desde el último jueves vienen denunciando a la autoridad por no dejarlos laborar. Cabe mencionar que 26 serenos que fueron contratados en la gestión del ex alcalde Iván Flores, denunciaron públicamente haber sido desalojados de la base Huajsapata desde el 01 de enero del presente año. Precisaron que con seta acción del nuevo burgomaestre de Puno, obstaculizo sus labores de seguridad como patrullaje y ronda por los calles de la ciudad lacustre. “Los de la oficina de personal no solucionan hasta ahora la continuidad de los serenos bajo resolución 728” refirieron amenazando con protestar en la Superintendencia Nacional de Fiscalización Laboral (Sunafil) y la Dirección Regional de Trabajo Puno. Al respecto, Ticona Maquera, negó haber autorizado el desalojo de los serenos, asimismo señalo que dicho problema, se estaría dando por que a un grupo de serenos que fueron contratados por CAS, se les habría cesado de sus funciones. “Tengo conocimiento que a 15 serenos se les ha vencido el contrato; y si es contrato CAS, se debe cumplir tal plazo”, dijo la autoridad aclarando que dicho acciones administrativas fueron hechas por la anterior gestión. Además, reveló que la anterior gestión ha dejado graves problemas en la comuna. Uno de ellos es el cambio de modalidad de contrato de algunos serenos. “Esa acción es grave, porque a serenos que han ingresado con contrato CAS, en el transcurso se le han modificado y pasaron al 728, que quiere decir un contrato casi permanente”, finalizó la autoridad provincial, añadiendo que en los próximos días se lanzará una convocatoria.",2025-11-09T02:47:53.227822,2019-01-05T00:00:00,2025-11-09T02:47:54.266808,Los Andes,7953,,278,"El flamante alcalde de la municipalidad provincial de Puno Martín Ticona Maquera, negó que se esté vulnerando los derechos de los serenos que desde el último jueves vienen denunciando a la autoridad por no dejarlos laborar. Cabe mencionar que 26 serenos que fueron contratados en la gestión del ex alcalde Iván Flores, denunciaron públicamente haber […]",,Alcalde contra serenos,https://losandes.com.pe/alcalde-contra-serenos/
Diario los Andes,1113,General,"La celebración de la tradicional Festividad de la Virgen de la Candelaria de Puno fue un éxito. Durante la primera quincena de febrero, en los días centrales de la fiesta, arribaron a la Ciudad Lacustre 10 mil 737 ciudadanos extranjeros, lo que representa un incremento de 18.84 % con respecto al mismo periodo de 2024. Así lo destacó la Superintendencia Nacional de Migraciones que precisó que en la primera quincena de febrero de 2024 llegaron a Puno 9 mil 035 ciudadanos extranjeros. Detalló que en el 2024, los 9 mil 035 ciudadanos extranjeros pa saron por el Puesto de Control Fronterizo (PCF) Desaguadero, así como por el Centro Binacional de Atención Fronteriza (Cebaf) Desaguadero, el PCF Kasani, PCF Carancas y PCF Tilali, mientras que en el 2025 el flujo aumentó a 10 mil 737. Migraciones, a través de la Jefatura Zonal Puno, desplegó un equipo de inspectores en las principales vías de acceso de la capital folclórica del Perú, con el objetivo de reforzar la seguridad migratoria. También realizaron su paso por el puesto de control fronterizo 22 mil 714 ciudadanos peruanos, en su mayoría estudiantes.",2025-11-09T02:47:53.227822,2025-02-20T00:00:00,2025-11-09T02:47:54.265095,Los Andes,7952,,186,"Por: Los Andes La celebración de la tradicional Festividad de la Virgen de la Candelaria de Puno fue un éxito. Durante la primera quincena de febrero, en los días centrales de la fiesta, arribaron a la Ciudad Lacustre 10 mil 737 ciudadanos extranjeros, lo que representa un incremento de 18.84 % con respecto al mismo […]",,Flujo de visitantes aumentó un 18 % durante Candelaria en Puno,https://losandes.com.pe/puno-candelaria-flujo-de-visitantes-aumento-un-18/?signup
Diario los Andes,945,General,"Demetrio Atacure Alvarado (80), fue denunciado por maltratar físicamente a su hijo Jorge L.A.P. (34), quien sufre alteraciones mentales. Según la denuncia, el día sábado a las 9:30 horas aproximadamente, la hermana de la víctima escuchó unos gritos que provenían del segundo piso de una de las habitaciones de la vivienda que habitan en el jirón Santiago de Chuco, en el centro poblado de Alto Puno. Cuando subió junto a su madre, la mujer vio a su hermano sangrando y a su padre con el palo de escoba que acababa de partir en la humanidad de su vástago. La denunciante le contó a los policías intervinientes que, esta no es la primera vez que el anciano agrede a su hermano enfermo. Por lo pronto el agresor es investigado por el delito de violencia familiar. Tras una evaluación, al agraviado le han dado cinco días de descanso. La fiscal Silvia Choque, dispuso que sea la Policía la que realice las primeras diligencias en este delicado caso.",2025-11-09T02:47:53.227822,2025-05-13T00:00:00,2025-11-09T02:47:54.263167,Los Andes,7951,,165,"Demetrio Atacure Alvarado (80), fue denunciado por maltratar físicamente a su hijo Jorge L.A.P. (34), quien sufre alteraciones mentales. Según la denuncia, el día sábado a las 9:30 horas aproximadamente, la hermana de la víctima escuchó unos gritos que provenían del segundo piso de una de las habitaciones de la vivienda que habitan en el […]",,Puno: rompe palo en la espalda de su hijo,https://losandes.com.pe/puno-rompe-palo-en-la-espalda-de-su-hijo/?signup
Diario los Andes,959,General,"Tras 105 días de la caída de una camioneta con cuatro ingenieros en el río Vilcanota (Cusco), sus familiares dejaron de recibir apoyo estatal para encontrar a los tres cuerpos restantes. Ayer realizaron un plantón en la plaza de Armas de Juliaca pidiendo ayuda para continuar con la búsqueda. Flora Arcata, madre de William Inquilla (31), responsabiliza a Carlos Alejo Gonzales por llevar a los ingenieros a la obra en Magantoni. Afirma que él prometió ayudar en la búsqueda, pero tras una semana del accidente no da más la cara. “¿Dónde está mi hijo, a dónde me lo ha llevado, o me lo ha vendido? ¿Por qué no lo encontramos?”, dijo desconsolada. La madre de familia presume que los cuerpos están atrapados en la camioneta, pero al no contar con GPS, la búsqueda se dificulta. El padre de Wilmer lamentó que la unidad de salvataje de Lima los tenga esperando desde hace mes y medio. Mientras tanto, solo reciben apoyo parcial de un grupo de policías de Cusco.",2025-11-09T02:47:53.227822,2025-05-31T00:00:00,2025-11-09T02:47:54.262409,Los Andes,7950,,168,"Tras 105 días de la caída de una camioneta con cuatro ingenieros en el río Vilcanota (Cusco), sus familiares dejaron de recibir apoyo estatal para encontrar a los tres cuerpos restantes. Ayer realizaron un plantón en la plaza de Armas de Juliaca pidiendo ayuda para continuar con la búsqueda. Flora Arcata, madre de William Inquilla […]",,Estado abandona búsqueda de profesionales en Cusco,https://losandes.com.pe/estado-abandona-busqueda-de-profesionales-en-cusco/?signup
