autor,caracteres_contenido,categoria,contenido,created_at,fecha,fecha_extraccion,fuente,id,imagenes,palabras_contenido,resumen,tags,titulo,url
Diario los Andes,301,General,"Guarda mi nombre, correo electrónico y sitio web en este navegador para la próxima vez que comente. Diario referente del sur del Perú, espacio de reflexión sobre el desarrollo humano y su relación con el medio ambiente, la sociedad y la economía © 2024 Diario los Andes. Todos los derechos reservados.",2025-11-14T17:31:01.874493,2025-11-12T00:00:00,2025-11-14T17:31:02.335213,Los Andes,9898,,51,"Guarda mi nombre, correo electrónico y sitio web en este navegador para la próxima vez que comente",,PUNO: Diario Los Andes 12/11/2025,https://losandes.com.pe/puno-diario-los-andes-12-11-2025/?signup
Diario los Andes,201,General,"Diario referente del sur del Perú, espacio de reflexión sobre el desarrollo humano y su relación con el medio ambiente, la sociedad y la economía © 2024 Diario los Andes. Todos los derechos reservados.",2025-11-14T17:31:01.874493,2024-08-26T00:00:00,2025-11-14T17:31:02.309007,Los Andes,9897,,34,"Diario referente del sur del Perú, espacio de reflexión sobre el desarrollo humano y su relación con el medio ambiente, la sociedad y la economía © 2024 Diario los Andes",,AREQUIPA: Diario Los Andes 26/08/2024,https://losandes.com.pe/arequipa-diario-los-andes-26-08-2024/?signup
Diario los Andes,201,General,"Diario referente del sur del Perú, espacio de reflexión sobre el desarrollo humano y su relación con el medio ambiente, la sociedad y la economía © 2024 Diario los Andes. Todos los derechos reservados.",2025-11-14T17:31:01.874493,2024-08-20T00:00:00,2025-11-14T17:31:02.294401,Los Andes,9896,,34,"Diario referente del sur del Perú, espacio de reflexión sobre el desarrollo humano y su relación con el medio ambiente, la sociedad y la economía © 2024 Diario los Andes",,Diario Los Andes 20/08/2024,https://losandes.com.pe/diario-los-andes-20-08-2024/?signup
